"Gene_symbol"	"   Genes"	"Freq"
"EED"	"embryonic ectoderm development"	"4"
"ELF3"	"E74-like factor 3 (ets domain transcription factor, epithelial-specific )"	"4"
"ESCO2"	"establishment of cohesion 1 homolog 2 (S. cerevisiae)"	"4"
"FGF2"	"fibroblast growth factor 2 (basic)"	"4"
"FLI1"	"Friend leukemia virus integration 1"	"4"
"FLT3"	"fms-related tyrosine kinase 3"	"4"
"FOLR1"	"folate receptor 1 (adult)"	"4"
"GAA"	"glucosidase, alpha; acid"	"4"
"GFI1B"	"growth factor independent 1B transcription repressor"	"4"
"HEY2"	"hairy/enhancer-of-split related with YRPW motif 2"	"4"
"HIPK2"	"homeodomain interacting protein kinase 2"	"4"
"HOXA13"	"homeobox A13"	"4"
"IGFBP4"	"insulin-like growth factor binding protein 4"	"4"
"IGH"	"immunoglobulin heavy locus"	"4"
"IL6"	"interleukin 6 (interferon, beta 2)"	"4"
"ILK"	"integrin-linked kinase"	"4"
"KLF6"	"Kruppel-like factor 6"	"4"
"MAGEA1"	"melanoma antigen family A, 1 (directs expression of antigen MZ2-E)"	"4"
"MEST"	"mesoderm specific transcript"	"4"
"MPG"	"N-methylpurine-DNA glycosylase"	"4"
"MPL"	"myeloproliferative leukemia virus oncogene"	"4"
"MYSM1"	"Myb-like, SWIRM and MPN domains 1"	"4"
"NEK6"	"NIMA-related kinase 6"	"4"
"NFIA"	"nuclear factor I/A"	"4"
"NKX2-2"	"NK2 homeobox 2"	"4"
"NPR1"	"natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)"	"4"
"NUP153"	"nucleoporin 153kDa"	"4"
"P2RX7"	"purinergic receptor P2X, ligand-gated ion channel, 7"	"4"
"PEAR1"	"platelet endothelial aggregation receptor 1"	"4"
"PKNOX1"	"PBX/knotted 1 homeobox 1"	"4"
"PLAU"	"plasminogen activator, urokinase"	"4"
"PLCB1"	"phospholipase C, beta 1 (phosphoinositide-specific)"	"4"
"PPARD"	"peroxisome proliferator-activated receptor delta"	"4"
"PRKAR2B"	"protein kinase, cAMP-dependent, regulatory, type II, beta"	"4"
"PTPRG"	"protein tyrosine phosphatase, receptor type, G"	"4"
"QKI"	"QKI, KH domain containing, RNA binding"	"4"
"REC8"	"REC8 homolog (yeast)"	"4"
"RPL22"	"ribosomal protein L22"	"4"
"SDHD"	"succinate dehydrogenase complex, subunit D, integral membrane protein"	"4"
"SETD1B"	"SET domain containing 1B"	"4"
"SETDB1"	"SET domain, bifurcated 1"	"4"
"SIN3A"	"SIN3 transcription regulator homolog A (yeast)"	"4"
"SRCAP"	"Snf2-related CREBBP activator protein"	"4"
"TAF3"	"TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa"	"4"
"TEAD1"	"TEA domain family member 1 (SV40 transcriptional enhancer factor)"	"4"
"TMPRSS2"	"transmembrane protease, serine 2"	"4"
"TNF"	"tumor necrosis factor"	"4"
"TOP2B"	"topoisomerase (DNA) II beta 180kDa"	"4"
"TPP1"	"tripeptidyl peptidase I"	"4"
"TRIM33"	"tripartite motif containing 33"	"4"
"TRIM65"	"tripartite motif containing 65"	"4"
"TXNIP"	"thioredoxin interacting protein"	"4"
"UPF1"	"UPF1 regulator of nonsense transcripts homolog (yeast)"	"4"
"ZNF148"	"zinc finger protein 148"	"4"
"ABCD1"	"ATP-binding cassette, sub-family D (ALD), member 1"	"3"
"ABCG2"	"ATP-binding cassette, sub-family G (WHITE), member 2"	"3"
"ADAM10"	"ADAM metallopeptidase domain 10"	"3"
"ARF5"	"ADP-ribosylation factor 5"	"3"
"ASXL1"	"additional sex combs like 1 (Drosophila)"	"3"
"ATP1B1"	"ATPase, Na+/K+ transporting, beta 1 polypeptide"	"3"
"ATXN1"	"ataxin 1"	"3"
"BATF"	"basic leucine zipper transcription factor, ATF-like"	"3"
"BCAR1"	"breast cancer anti-estrogen resistance 1"	"3"
"CASZ1"	"castor zinc finger 1"	"3"
"CD4"	"CD4 molecule"	"3"
"CDKN2B"	"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"	"3"
"CDYL"	"chromodomain protein, Y-like"	"3"
"CFP"	"complement factor properdin"	"3"
"CHD3"	"chromodomain helicase DNA binding protein 3"	"3"
"CNR1"	"cannabinoid receptor 1 (brain)"	"3"
"CSF1R"	"colony stimulating factor 1 receptor"	"3"
"CTGF"	"connective tissue growth factor"	"3"
"CXCL1"	"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"	"3"
"CXCL6"	"chemokine (C-X-C motif) ligand 6"	"3"
"DAXX"	"death-domain associated protein"	"3"
"DBF4"	"DBF4 homolog (S. cerevisiae)"	"3"
"DRD4"	"dopamine receptor D4"	"3"
"E2F2"	"E2F transcription factor 2"	"3"
"E2F4"	"E2F transcription factor 4, p107/p130-binding"	"3"
"EHF"	"ets homologous factor"	"3"
"EHMT1"	"euchromatic histone-lysine N-methyltransferase 1"	"3"
"ELAVL1"	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)"	"3"
"ELK1"	"ELK1, member of ETS oncogene family"	"3"
"EPO"	"erythropoietin"	"3"
"ERBB3"	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)"	"3"
"ETV1"	"ets variant 1"	"3"
"FGF19"	"fibroblast growth factor 19"	"3"
"FGFR2"	"fibroblast growth factor receptor 2"	"3"
"FHL1"	"four and a half LIM domains 1"	"3"
"FSTL1"	"follistatin-like 1"	"3"
"GABPA"	"GA binding protein transcription factor, alpha subunit 60kDa"	"3"
"GALNT14"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)"	"3"
"GCM1"	"glial cells missing homolog 1 (Drosophila)"	"3"
"GFAP"	"glial fibrillary acidic protein"	"3"
"GFI1"	"growth factor independent 1 transcription repressor"	"3"
"GNAS"	"GNAS complex locus"	"3"
"GSDMA"	"gasdermin A"	"3"
"H3F3A"	"H3 histone, family 3A"	"3"
"HDGF"	"hepatoma-derived growth factor"	"3"
"HEYL"	"hairy/enhancer-of-split related with YRPW motif-like"	"3"
"HGF"	"hepatocyte growth factor (hepapoietin A; scatter factor)"	"3"
"HIST1H1E"	"histone cluster 1, H1e"	"3"
"HJURP"	"Holliday junction recognition protein"	"3"
"HLA-DQA1"	"major histocompatibility complex, class II, DQ alpha 1"	"3"
"HLA-DRB1"	"major histocompatibility complex, class II, DR beta 1"	"3"
"HNRNPU"	"heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)"	"3"
"HOXA1"	"homeobox A1"	"3"
"HSF2"	"heat shock transcription factor 2"	"3"
"ID1"	"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"	"3"
"IDH1"	"isocitrate dehydrogenase 1 (NADP+), soluble"	"3"
"IFITM3"	"interferon induced transmembrane protein 3"	"3"
"IGF2BP1"	"insulin-like growth factor 2 mRNA binding protein 1"	"3"
"IRF1"	"interferon regulatory factor 1"	"3"
"ITGB4"	"integrin, beta 4"	"3"
"KCNK9"	"potassium channel, subfamily K, member 9"	"3"
"KISS1"	"KiSS-1 metastasis-suppressor"	"3"
"KY"	"kyphoscoliosis peptidase"	"3"
"LAT"	"linker for activation of T cells"	"3"
"LYL1"	"lymphoblastic leukemia derived sequence 1"	"3"
"MAF"	"v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)"	"3"
"MAPK3"	"mitogen-activated protein kinase 3"	"3"
"MARCO"	"macrophage receptor with collagenous structure"	"3"
"MEN1"	"multiple endocrine neoplasia I"	"3"
"MET"	"met proto-oncogene (hepatocyte growth factor receptor)"	"3"
"MSI1"	"musashi RNA-binding protein 1"	"3"
"MTA1"	"metastasis associated 1"	"3"
"MTF1"	"metal-regulatory transcription factor 1"	"3"
"MUC5AC"	"mucin 5AC, oligomeric mucus/gel-forming"	"3"
"MYOCD"	"myocardin"	"3"
"MYOD1"	"myogenic differentiation 1"	"3"
"NCAM1"	"neural cell adhesion molecule 1"	"3"
"NFIB"	"nuclear factor I/B"	"3"
"NID1"	"nidogen 1"	"3"
"NKX2-5"	"NK2 homeobox 5"	"3"
"NPRL3"	"nitrogen permease regulator-like 3 (S. cerevisiae)"	"3"
"NRAS"	"neuroblastoma RAS viral (v-ras) oncogene homolog"	"3"
"OCA2"	"oculocutaneous albinism II"	"3"
"PAK1"	"p21 protein (Cdc42/Rac)-activated kinase 1"	"3"
"PAX8"	"paired box 8"	"3"
"PCGF3"	"polycomb group ring finger 3"	"3"
"PCGF6"	"polycomb group ring finger 6"	"3"
"PDGFRA"	"platelet-derived growth factor receptor, alpha polypeptide"	"3"
"PHLDA2"	"pleckstrin homology-like domain, family A, member 2"	"3"
"PITX1"	"paired-like homeodomain 1"	"3"
"RAB3B"	"RAB3B, member RAS oncogene family"	"3"
"RASGRF1"	"Ras protein-specific guanine nucleotide-releasing factor 1"	"3"
"REN"	"renin"	"3"
"RICTOR"	"RPTOR independent companion of MTOR, complex 2"	"3"
"RNASE4"	"ribonuclease, RNase A family, 4"	"3"
"RNF20"	"ring finger protein 20, E3 ubiquitin protein ligase"	"3"
"SKAP2"	"src kinase associated phosphoprotein 2"	"3"
"SMC2"	"structural maintenance of chromosomes 2"	"3"
"SOCS1"	"suppressor of cytokine signaling 1"	"3"
"SOX13"	"SRY (sex determining region Y)-box 13"	"3"
"SPO11"	"SPO11 meiotic protein covalently bound to DSB homolog (S. cerevisiae)"	"3"
"STAT6"	"signal transducer and activator of transcription 6, interleukin-4 induced"	"3"
"STRA8"	"stimulated by retinoic acid 8"	"3"
"TBP"	"TATA box binding protein"	"3"
"TPR"	"translocated promoter region, nuclear basket protein"	"3"
"TRAF6"	"TNF receptor-associated factor 6, E3 ubiquitin protein ligase"	"3"
"TRANK1"	"tetratricopeptide repeat and ankyrin repeat containing 1"	"3"
"TRRAP"	"transformation/transcription domain-associated protein"	"3"
"UNG"	"uracil-DNA glycosylase"	"3"
"USP22"	"ubiquitin specific peptidase 22"	"3"
"WHSC1"	"Wolf-Hirschhorn syndrome candidate 1"	"3"
"XBP1"	"X-box binding protein 1"	"3"
"ACTN4"	"actinin, alpha 4"	"2"
"AGO1"	"argonaute RISC catalytic component 1"	"2"
"ALK"	"anaplastic lymphoma receptor tyrosine kinase"	"2"
"ANKLE1"	"ankyrin repeat and LEM domain containing 1"	"2"
"ANXA1"	"annexin A1"	"2"
"APIP"	"APAF1 interacting protein"	"2"
"ARG2"	"arginase, type II"	"2"
"ARID5B"	"AT rich interactive domain 5B (MRF1-like)"	"2"
"ASXL2"	"additional sex combs like 2 (Drosophila)"	"2"
"ATF3"	"activating transcription factor 3"	"2"
"BACH2"	"BTB and CNC homology 1, basic leucine zipper transcription factor 2"	"2"
"BECN1"	"beclin 1, autophagy related"	"2"
"BIRC3"	"baculoviral IAP repeat containing 3"	"2"
"BMI1"	"BMI1 polycomb ring finger oncogene"	"2"
"BRAF"	"v-raf murine sarcoma viral oncogene homolog B1"	"2"
"BRCA2"	"breast cancer 2, early onset"	"2"
"BRCC3"	"BRCA1/BRCA2-containing complex, subunit 3"	"2"
"BRE"	"brain and reproductive organ-expressed (TNFRSF1A modulator)"	"2"
"BUB1"	"BUB1 mitotic checkpoint serine/threonine kinase"	"2"
"C3"	"complement component 3"	"2"
"CBL"	"Cbl proto-oncogene, E3 ubiquitin protein ligase"	"2"
"CD40"	"CD40 molecule, TNF receptor superfamily member 5"	"2"
"CD68"	"CD68 molecule"	"2"
"CDH3"	"cadherin 3, type 1, P-cadherin (placental)"	"2"
"CDK6"	"cyclin-dependent kinase 6"	"2"
"CDK9"	"cyclin-dependent kinase 9"	"2"
"CHD4"	"chromodomain helicase DNA binding protein 4"	"2"
"CHD7"	"chromodomain helicase DNA binding protein 7"	"2"
"COMT"	"catechol-O-methyltransferase"	"2"
"CPS1"	"carbamoyl-phosphate synthase 1, mitochondrial"	"2"
"CYP2A7"	"cytochrome P450, family 2, subfamily A, polypeptide 7"	"2"
"CYP2D6"	"cytochrome P450, family 2, subfamily D, polypeptide 6"	"2"
"DLX2"	"distal-less homeobox 2"	"2"
"DPF3"	"D4, zinc and double PHD fingers, family 3"	"2"
"ESCO1"	"establishment of cohesion 1 homolog 1 (S. cerevisiae)"	"2"
"ESR1"	"estrogen receptor 1"	"2"
"F3"	"coagulation factor III (thromboplastin, tissue factor)"	"2"
"FASN"	"fatty acid synthase"	"2"
"FAT1"	"FAT tumor suppressor homolog 1 (Drosophila)"	"2"
"FGF4"	"fibroblast growth factor 4"	"2"
"FN1"	"fibronectin 1"	"2"
"FOXA2"	"forkhead box A2"	"2"
"GATA4"	"GATA binding protein 4"	"2"
"GLI1"	"GLI family zinc finger 1"	"2"
"GLI3"	"GLI family zinc finger 3"	"2"
"GPR133"	"G protein-coupled receptor 133"	"2"
"GSC"	"goosecoid homeobox"	"2"
"HBEGF"	"heparin-binding EGF-like growth factor"	"2"
"HDAC2"	"histone deacetylase 2"	"2"
"HELZ"	"helicase with zinc finger"	"2"
"HIF1A"	"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"	"2"
"HMGN1"	"high mobility group nucleosome binding domain 1"	"2"
"HORMAD1"	"HORMA domain containing 1"	"2"
"HS6ST2"	"heparan sulfate 6-O-sulfotransferase 2"	"2"
"IGF1"	"insulin-like growth factor 1 (somatomedin C)"	"2"
"IHH"	"indian hedgehog"	"2"
"IL2RA"	"interleukin 2 receptor, alpha"	"2"
"IL6R"	"interleukin 6 receptor"	"2"
"IL17RB"	"interleukin 17 receptor B"	"2"
"INO80E"	"INO80 complex subunit E"	"2"
"IPO13"	"importin 13"	"2"
"IRF7"	"interferon regulatory factor 7"	"2"
"JUND"	"jun D proto-oncogene"	"2"
"KANSL1"	"KAT8 regulatory NSL complex subunit 1"	"2"
"KCND3"	"potassium voltage-gated channel, Shal-related subfamily, member 3"	"2"
"KLF2"	"Kruppel-like factor 2 (lung)"	"2"
"KLF9"	"Kruppel-like factor 9"	"2"
"LEP"	"leptin"	"2"
"LIFR"	"leukemia inhibitory factor receptor alpha"	"2"
"LMO4"	"LIM domain only 4"	"2"
"LTB"	"lymphotoxin beta (TNF superfamily, member 3)"	"2"
"MAL"	"mal, T-cell differentiation protein"	"2"
"MB"	"myoglobin"	"2"
"MC2R"	"melanocortin 2 receptor (adrenocorticotropic hormone)"	"2"
"MED23"	"mediator complex subunit 23"	"2"
"MIA"	"melanoma inhibitory activity"	"2"
"MMP1"	"matrix metallopeptidase 1 (interstitial collagenase)"	"2"
"MMP7"	"matrix metallopeptidase 7 (matrilysin, uterine)"	"2"
"MT2A"	"metallothionein 2A"	"2"
"MUC1"	"mucin 1, cell surface associated"	"2"
"MUC6"	"mucin 6, oligomeric mucus/gel-forming"	"2"
"NAMPT"	"nicotinamide phosphoribosyltransferase"	"2"
"NCOR1"	"nuclear receptor corepressor 1"	"2"
"NEK2"	"NIMA-related kinase 2"	"2"
"NFIC"	"nuclear factor I/C (CCAAT-binding transcription factor)"	"2"
"NFKB1"	"nuclear factor of kappa light polypeptide gene enhancer in B-cells 1"	"2"
"NPPB"	"natriuretic peptide B"	"2"
"NR3C1"	"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)"	"2"
"NTS"	"neurotensin"	"2"
"OTOP2"	"otopetrin 2"	"2"
"PAF1"	"Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)"	"2"
"PARG"	"poly (ADP-ribose) glycohydrolase"	"2"
"PCGF2"	"polycomb group ring finger 2"	"2"
"PCYT1A"	"phosphate cytidylyltransferase 1, choline, alpha"	"2"
"PDHA1"	"pyruvate dehydrogenase (lipoamide) alpha 1"	"2"
"PDZK1"	"PDZ domain containing 1"	"2"
"PHF1"	"PHD finger protein 1"	"2"
"PIK3C2A"	"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha"	"2"
"PLCB4"	"phospholipase C, beta 4"	"2"
"PLD2"	"phospholipase D2"	"2"
"POLE"	"polymerase (DNA directed), epsilon, catalytic subunit"	"2"
"POU4F3"	"POU class 4 homeobox 3"	"2"
"PPP2R1A"	"protein phosphatase 2, regulatory subunit A, alpha"	"2"
"PREX1"	"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1"	"2"
"PROX1"	"prospero homeobox 1"	"2"
"PTCH1"	"patched 1"	"2"
"PTH"	"parathyroid hormone"	"2"
"RAC2"	"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"	"2"
"RARG"	"retinoic acid receptor, gamma"	"2"
"RGL1"	"ral guanine nucleotide dissociation stimulator-like 1"	"2"
"ROR1"	"receptor tyrosine kinase-like orphan receptor 1"	"2"
"RPTOR"	"regulatory associated protein of MTOR, complex 1"	"2"
"RREB1"	"ras responsive element binding protein 1"	"2"
"SCO2"	"SCO2 cytochrome c oxidase assembly protein"	"2"
"SELL"	"selectin L"	"2"
"SIX5"	"SIX homeobox 5"	"2"
"SLC2A1"	"solute carrier family 2 (facilitated glucose transporter), member 1"	"2"
"SLC6A4"	"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4"	"2"
"SMARCAL1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1"	"2"
"SMYD1"	"SET and MYND domain containing 1"	"2"
"SNAI2"	"snail homolog 2 (Drosophila)"	"2"
"SNRPN"	"small nuclear ribonucleoprotein polypeptide N"	"2"
"SOX17"	"SRY (sex determining region Y)-box 17"	"2"
"SOX18"	"SRY (sex determining region Y)-box 18"	"2"
"SRSF2"	"serine/arginine-rich splicing factor 2"	"2"
"SSB"	"Sjogren syndrome antigen B (autoantigen La)"	"2"
"STAG1"	"stromal antigen 1"	"2"
"STIL"	"SCL/TAL1 interrupting locus"	"2"
"SULT1E1"	"sulfotransferase family 1E, estrogen-preferring, member 1"	"2"
"SUV39H1"	"suppressor of variegation 3-9 homolog 1 (Drosophila)"	"2"
"SUV39H2"	"suppressor of variegation 3-9 homolog 2 (Drosophila)"	"2"
"SYCP3"	"synaptonemal complex protein 3"	"2"
"TAF1"	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa"	"2"
"TCF7L2"	"transcription factor 7-like 2 (T-cell specific, HMG-box)"	"2"
"TET3"	"tet methylcytosine dioxygenase 3"	"2"
"TFAP2A"	"transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)"	"2"
"TFPT"	"TCF3 (E2A) fusion partner (in childhood Leukemia)"	"2"
"TLX1"	"T-cell leukemia homeobox 1"	"2"
"TNPO3"	"transportin 3"	"2"
"TOR1A"	"torsin family 1, member A (torsin A)"	"2"
"TTF1"	"transcription termination factor, RNA polymerase I"	"2"
"VEZF1"	"vascular endothelial zinc finger 1"	"2"
"VIM"	"vimentin"	"2"
"VPS11"	"vacuolar protein sorting 11 homolog (S. cerevisiae)"	"2"
"VPS18"	"vacuolar protein sorting 18 homolog (S. cerevisiae)"	"2"
"WDR5"	"WD repeat domain 5"	"2"
"WEE1"	"WEE1 homolog (S. pombe)"	"2"
"ZAP70"	"zeta-chain (TCR) associated protein kinase 70kDa"	"2"
"ZEB2"	"zinc finger E-box binding homeobox 2"	"2"
"ZNF217"	"zinc finger protein 217"	"2"
"ZNF263"	"zinc finger protein 263"	"2"
"ZNF404"	"zinc finger protein 404"	"2"
"ZRSR2"	"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2"	"2"
"ABCA1"	"ATP-binding cassette, sub-family A (ABC1), member 1"	"1"
"ABCC9"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"	"1"
"ABCF2"	"ATP-binding cassette, sub-family F (GCN20), member 2"	"1"
"ABCG1"	"ATP-binding cassette, sub-family G (WHITE), member 1"	"1"
"ABLIM3"	"actin binding LIM protein family, member 3"	"1"
"ACD"	"adrenocortical dysplasia homolog (mouse)"	"1"
"ACLY"	"ATP citrate lyase"	"1"
"ACTB"	"actin, beta"	"1"
"ADH1C"	"alcohol dehydrogenase 1C (class I), gamma polypeptide"	"1"
"AFF4"	"AF4/FMR2 family, member 4"	"1"
"AFM"	"afamin"	"1"
"AHRR"	"aryl-hydrocarbon receptor repressor"	"1"
"AJUBA"	"ajuba LIM protein"	"1"
"ALOX5"	"arachidonate 5-lipoxygenase"	"1"
"AMH"	"anti-Mullerian hormone"	"1"
"ANK1"	"ankyrin 1, erythrocytic"	"1"
"ANKRD11"	"ankyrin repeat domain 11"	"1"
"APAF1"	"apoptotic peptidase activating factor 1"	"1"
"APCDD1L"	"adenomatosis polyposis coli down-regulated 1-like"	"1"
"APOB"	"apolipoprotein B (including Ag(x) antigen)"	"1"
"APOBEC3B"	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"	"1"
"ARF1"	"ADP-ribosylation factor 1"	"1"
"ARHGAP1"	"Rho GTPase activating protein 1"	"1"
"ARHGAP35"	"Rho GTPase activating protein 35"	"1"
"ARNTL"	"aryl hydrocarbon receptor nuclear translocator-like"	"1"
"ARRB1"	"arrestin, beta 1"	"1"
"ATF7IP"	"activating transcription factor 7 interacting protein"	"1"
"AXIN1"	"axin 1"	"1"
"BAX"	"BCL2-associated X protein"	"1"
"BAZ2A"	"bromodomain adjacent to zinc finger domain, 2A"	"1"
"BCL2L11"	"BCL2-like 11 (apoptosis facilitator)"	"1"
"BCL7A"	"B-cell CLL/lymphoma 7A"	"1"
"BCLAF1"	"BCL2-associated transcription factor 1"	"1"
"BDP1"	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"	"1"
"BEX1"	"brain expressed, X-linked 1"	"1"
"BGN"	"biglycan"	"1"
"BHLHE41"	"basic helix-loop-helix family, member e41"	"1"
"BIK"	"BCL2-interacting killer (apoptosis-inducing)"	"1"
"BIN1"	"bridging integrator 1"	"1"
"BIRC5"	"baculoviral IAP repeat containing 5"	"1"
"BLCAP"	"bladder cancer associated protein"	"1"
"BLK"	"B lymphoid tyrosine kinase"	"1"
"BMP3"	"bone morphogenetic protein 3"	"1"
"BOC"	"BOC cell adhesion associated, oncogene regulated"	"1"
"BRD9"	"bromodomain containing 9"	"1"
"BRDT"	"bromodomain, testis-specific"	"1"
"C1orf43"	"chromosome 1 open reading frame 43"	"1"
"C2"	"complement component 2"	"1"
"C2orf76"	"chromosome 2 open reading frame 76"	"1"
"C3orf27"	"chromosome 3 open reading frame 27"	"1"
"CA1"	"carbonic anhydrase I"	"1"
"CA5A"	"carbonic anhydrase VA, mitochondrial"	"1"
"CACFD1"	"calcium channel flower domain containing 1"	"1"
"CASP4"	"caspase 4, apoptosis-related cysteine peptidase"	"1"
"CASP9"	"caspase 9, apoptosis-related cysteine peptidase"	"1"
"CAT"	"catalase"	"1"
"CBX7"	"chromobox homolog 7"	"1"
"CBX8"	"chromobox homolog 8"	"1"
"CCL2"	"chemokine (C-C motif) ligand 2"	"1"
"CCL5"	"chemokine (C-C motif) ligand 5"	"1"
"CCL22"	"chemokine (C-C motif) ligand 22"	"1"
"CCNF"	"cyclin F"	"1"
"CCR4"	"chemokine (C-C motif) receptor 4"	"1"
"CCR7"	"chemokine (C-C motif) receptor 7"	"1"
"CD34"	"CD34 molecule"	"1"
"CD36"	"CD36 molecule (thrombospondin receptor)"	"1"
"CD86"	"CD86 molecule"	"1"
"CD97"	"CD97 molecule"	"1"
"CD163"	"CD163 molecule"	"1"
"CDC6"	"cell division cycle 6"	"1"
"CDC45"	"cell division cycle 45"	"1"
"CDC73"	"cell division cycle 73"	"1"
"CDH9"	"cadherin 9, type 2 (T1-cadherin)"	"1"
"CDH19"	"cadherin 19, type 2"	"1"
"CDK4"	"cyclin-dependent kinase 4"	"1"
"CDK5"	"cyclin-dependent kinase 5"	"1"
"CDK8"	"cyclin-dependent kinase 8"	"1"
"CDKN2C"	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	"1"
"CEBPB"	"CCAAT/enhancer binding protein (C/EBP), beta"	"1"
"CELF1"	"CUGBP, Elav-like family member 1"	"1"
"CHAF1B"	"chromatin assembly factor 1, subunit B (p60)"	"1"
"CHD1"	"chromodomain helicase DNA binding protein 1"	"1"
"CHKA"	"choline kinase alpha"	"1"
"CHPT1"	"choline phosphotransferase 1"	"1"
"CHRNA7"	"cholinergic receptor, nicotinic, alpha 7 (neuronal)"	"1"
"CIB2"	"calcium and integrin binding family member 2"	"1"
"CIB4"	"calcium and integrin binding family member 4"	"1"
"CIC"	"capicua transcriptional repressor"	"1"
"CITED2"	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"	"1"
"CLDN10"	"claudin 10"	"1"
"CLDN14"	"claudin 14"	"1"
"CLDN16"	"claudin 16"	"1"
"CLU"	"clusterin"	"1"
"COL3A1"	"collagen, type III, alpha 1"	"1"
"CPT1A"	"carnitine palmitoyltransferase 1A (liver)"	"1"
"CRTC2"	"CREB regulated transcription coactivator 2"	"1"
"CRY1"	"cryptochrome 1 (photolyase-like)"	"1"
"CSDE1"	"cold shock domain containing E1, RNA-binding"	"1"
"CSMD3"	"CUB and Sushi multiple domains 3"	"1"
"CTBP1"	"C-terminal binding protein 1"	"1"
"CTBP2"	"C-terminal binding protein 2"	"1"
"CTDSP2"	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"	"1"
"CTDSPL"	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"	"1"
"CX3CR1"	"chemokine (C-X3-C motif) receptor 1"	"1"
"CYP26A1"	"cytochrome P450, family 26, subfamily A, polypeptide 1"	"1"
"DBH"	"dopamine beta-hydroxylase (dopamine beta-monooxygenase)"	"1"
"DCTN4"	"dynactin 4 (p62)"	"1"
"DECR1"	"2,4-dienoyl CoA reductase 1, mitochondrial"	"1"
"DEPTOR"	"DEP domain containing MTOR-interacting protein"	"1"
"DET1"	"de-etiolated homolog 1 (Arabidopsis)"	"1"
"DLK1"	"delta-like 1 homolog (Drosophila)"	"1"
"DLX1"	"distal-less homeobox 1"	"1"
"DNA2"	"DNA replication helicase 2 homolog (yeast)"	"1"
"DR1"	"down-regulator of transcription 1, TBP-binding (negative cofactor 2)"	"1"
"DRD2"	"dopamine receptor D2"	"1"
"DUSP6"	"dual specificity phosphatase 6"	"1"
"DUSP22"	"dual specificity phosphatase 22"	"1"
"E2F5"	"E2F transcription factor 5, p130-binding"	"1"
"E2F6"	"E2F transcription factor 6"	"1"
"EGR2"	"early growth response 2"	"1"
"ELF4"	"E74-like factor 4 (ets domain transcription factor)"	"1"
"ELK4"	"ELK4, ETS-domain protein (SRF accessory protein 1)"	"1"
"ELL3"	"elongation factor RNA polymerase II-like 3"	"1"
"ENO1"	"enolase 1, (alpha)"	"1"
"EPHB6"	"EPH receptor B6"	"1"
"ERCC1"	"excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)"	"1"
"ERCC2"	"excision repair cross-complementing rodent repair deficiency, complementation group 2"	"1"
"ERCC3"	"excision repair cross-complementing rodent repair deficiency, complementation group 3"	"1"
"ETNK2"	"ethanolamine kinase 2"	"1"
"EVI5"	"ecotropic viral integration site 5"	"1"
"EYA1"	"eyes absent homolog 1 (Drosophila)"	"1"
"F2RL1"	"coagulation factor II (thrombin) receptor-like 1"	"1"
"FAM57A"	"family with sequence similarity 57, member A"	"1"
"FAM129A"	"family with sequence similarity 129, member A"	"1"
"FAM163B"	"family with sequence similarity 163, member B"	"1"
"FAS"	"Fas (TNF receptor superfamily, member 6)"	"1"
"FAT3"	"FAT tumor suppressor homolog 3 (Drosophila)"	"1"
"FBXO22"	"F-box protein 22"	"1"
"FGA"	"fibrinogen alpha chain"	"1"
"FGB"	"fibrinogen beta chain"	"1"
"FGG"	"fibrinogen gamma chain"	"1"
